Car_Name,Year,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Selling_Price
94,2015,9.4,61381,1,0,1,0,8.25
52,2011,0.826,6000,2,1,1,0,0.5
82,2015,5.7,24678,2,0,1,0,5.25
69,2016,11.6,33988,1,0,1,0,9.5
86,2017,19.77,15000,1,0,0,0,18.0
66,2016,5.97,5600,2,0,1,0,5.5
84,2012,6.79,35000,2,0,1,0,3.75
25,2016,0.55,1000,2,1,1,0,0.45
84,2013,6.79,32000,2,0,0,0,4.5
94,2012,9.4,36100,2,0,1,0,4.5
83,2011,4.6,22517,2,0,1,0,2.7
6,2016,0.95,500,2,1,1,0,0.72
82,2017,5.7,20114,2,0,1,0,5.25
68,2015,9.94,15000,2,0,0,0,7.5
76,2016,10.79,43000,1,0,1,0,7.75
86,2017,23.15,11000,2,0,0,0,19.75
87,2016,8.5,15059,2,0,0,0,7.4
78,2014,6.76,40000,2,0,1,0,4.75
39,2011,1.05,30000,2,1,1,0,0.35
56,2017,1.82,1400,2,1,1,0,1.7
93,2011,8.01,50000,2,0,0,0,4.4
82,2016,5.7,3493,2,0,1,1,5.25
94,2013,9.4,36198,2,0,0,0,5.11
72,2016,13.6,22671,2,0,1,0,11.25
14,2008,0.75,60000,2,1,1,0,0.2
60,2017,0.84,5000,2,1,1,0,0.78
22,2011,0.787,75000,2,1,1,0,0.38
37,2014,1.2,23500,2,1,1,0,0.65
16,2012,0.99,13000,2,1,1,0,0.5
71,2009,15.04,70000,2,0,0,0,3.6
