Car_Name,Year,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Selling_Price
84,2010,6.79,58000,1,0,1,1,3.25
69,2014,9.9,48000,1,0,1,0,7.2
12,2014,0.99,25000,2,1,1,0,0.6
68,2016,8.89,20273,1,0,1,0,8.75
69,2009,10.0,69562,2,0,1,0,3.0
48,2016,1.5,8700,2,1,1,0,1.15
87,2016,7.7,16002,2,0,1,0,6.6
79,2015,7.85,40000,1,0,1,0,4.75
14,2008,0.75,26000,2,1,1,1,0.25
69,2014,14.0,63000,1,0,1,0,8.25
95,2018,9.83,2071,1,0,1,0,9.25
81,2014,35.96,41000,1,0,0,0,19.99
82,2015,5.7,4492,2,0,1,0,5.5
97,2015,7.13,35866,2,0,1,1,4.75
73,2014,8.06,45000,1,0,1,0,5.5
72,2016,13.6,35934,1,0,1,0,12.9
33,2013,0.58,30000,2,1,1,0,0.3
45,2016,1.17,6000,2,1,1,0,1.05
69,2013,9.9,54242,2,0,1,0,5.25
91,2015,8.61,33429,1,0,1,0,6.5
68,2014,12.04,15000,2,0,0,0,7.5
75,2016,4.43,12500,2,0,1,0,2.9
94,2013,9.4,60241,2,0,1,0,4.8
81,2015,35.96,47000,1,0,0,0,23.5
48,2016,1.5,18000,2,1,1,0,1.2
46,2015,1.47,26000,2,1,1,0,1.1
20,2013,0.787,16000,2,1,1,0,0.65
83,2011,4.43,57000,2,0,1,0,2.55
92,2013,5.87,55138,2,0,1,0,4.15
40,2014,3.45,16500,2,1,1,1,1.35
86,2005,13.7,75000,2,0,1,0,3.51
77,2014,8.93,83000,1,0,1,0,4.9
75,2012,4.43,23709,2,0,1,0,2.0
81,2017,36.23,6000,1,0,0,0,33.0
64,2014,6.8,33019,2,0,1,0,3.75
87,2016,7.9,28569,2,0,1,0,5.65
69,2015,13.09,60076,1,0,1,0,8.55
71,2009,18.61,62000,2,0,1,0,3.8
2,2017,0.51,1300,2,1,0,0,0.4
80,2011,5.71,43000,2,0,1,0,2.65
63,2016,3.95,25000,2,0,1,0,2.85
90,2013,4.89,64532,2,0,1,0,2.65
38,2017,0.54,8600,2,1,1,0,0.48
94,2013,9.4,45000,1,0,1,0,6.15
39,2010,1.05,213000,2,1,1,0,0.31
92,2017,6.49,16200,2,1,1,0,6.0
20,2014,0.787,15000,2,1,1,0,0.55
69,2016,13.6,29223,2,0,1,0,9.15
0,2003,2.28,127000,2,1,1,0,0.35
87,2010,7.5,61203,2,0,1,0,2.25
28,2016,0.54,14000,2,1,1,0,0.45
71,2017,18.64,8700,2,0,1,0,17.0
82,2015,5.7,21125,1,0,1,0,4.85
64,2015,7.5,44000,2,0,0,0,5.75
94,2014,9.4,45078,2,0,1,0,6.45
46,2013,1.47,33000,2,1,1,0,1.1
94,2012,9.4,32322,1,0,1,0,5.35
